,begin,end,subtitles_text
0,00:00:00.00,00:00:00.00,">> JEFF: Previously on Survivor,"
1,00:00:03.21,00:00:03.21,ten of Survivor's biggest fanswere pitted against ten
2,00:00:06.25,00:00:06.25,favorites from seasons past.Both tribes immediately competed
3,00:00:11.46,00:00:11.46,for a shot at individualimmunity.
4,00:00:15.42,00:00:15.42,"Yau-Man narrowly won the idolfor the favorites, and he helped"
5,00:00:18.79,00:00:18.79,Kathy find the idol for thefans.
6,00:00:21.83,00:00:21.83,>> Pick up that!>> JEFF: The fans struggled on
7,00:00:27.12,00:00:27.12,their beach and failed to builda solid shelter.
8,00:00:35.79,00:00:35.79,">> JEFF: Go!At the first immunity challenge,"
9,00:00:38.46,00:00:38.46,"the favorites relied onexperience, but experience"
10,00:00:41.25,00:00:41.25,wasn't enough.The first immunity challenge is
11,00:00:44.75,00:00:44.75,"won by the fans!Facing tribal council, the"
12,00:00:51.00,00:00:51.00,favorites were split into twoalliances.
13,00:00:54.17,00:00:54.17,">> Ami, Yau-Man, Jonathan andmyself, the four of us are a"
14,00:00:57.04,00:00:57.04,"tight alliance, but there'sanother foursome out here--"
15,00:01:00.00,00:01:00.00,Amanda and Ozzy and Parvati andJames.
16,00:01:03.12,00:01:03.12,>> JEFF: And both groups wantedto recruit the same player.
17,00:01:05.96,00:01:05.96,>> We need a fifth.>> I say Fairplay.
18,00:01:08.25,00:01:08.25,>> We need Fairplay to make astrong alliance.
19,00:01:11.88,00:01:11.88,>> JEFF: But Fairplay made asurprising revelation to his
20,00:01:13.83,00:01:13.83,tribe.>> JEFF: Not everyone was
21,00:01:22.88,00:01:22.88,convinced he was telling thetruth.
22,00:01:25.17,00:01:25.17,">> If I know Jonny Fairplay, heis going to pull something out"
23,00:01:27.21,00:01:27.21,"of his hat that none of us aregoing to be expecting, and he is"
24,00:01:29.08,00:01:29.08,"going to stir things up.>> JEFF: But in the end, the"
25,00:01:33.42,00:01:33.42,"entire tribe wrote down hisname, and severed ties with one"
26,00:01:36.33,00:01:36.33,of the most infamous players toplay the game.
27,00:01:40.12,00:01:40.12,"Jonny Fairplay, the tribe hasspoken."
28,00:01:43.12,00:01:43.12,19 are left.Who will be voted out tonight?
29,00:02:00.12,00:02:00.12,>> I can't believe you justcaught that fish with your bare
